Column 1	Column 3
Amelia      	73.709 
Alberta     	73.735 
Sonya       	73.760 
Perry       	73.786 
Morris      	73.811 
Monique     	73.837 
Maggie      	73.862 
Kristine    	73.888 
Kayla       	73.913 
Jodi        	73.939 
Janie       	73.964 
Isaac       	73.990 
Genevieve   	74.015 
Candace     	74.041 
Yvette      	74.066 
Willard     	74.091 
Whitney     	74.116 
Virgil      	74.141 
Ross        	74.166 
Opal        	74.191 
Melody      	74.216 
Maryann     	74.241 
Marshall    	74.266 
Fannie      	74.291 
Clifton     	74.316 
Alison      	74.341 
Susie       	74.365 
Shelley     	74.390 
Sergio      	74.414 
Salvador    	74.439 
Olivia      	74.463 
Luz         	74.488 
Kirk        	74.512 
Flora       	74.537 
Andy        	74.561 
Verna       	74.585 
Terrance    	74.609 
Seth        	74.633 
Mamie       	74.657 
Lula        	74.681 
Lola        	74.705 
Kristy      	74.729 
Kent        	74.753 
Beulah      	74.777 
Antoinette  	74.801 
Terrence    	74.825 
Gayle       	74.848 
Eduardo     	74.872 
Pam         	74.895 
Kelli       	74.918 
Juana       	74.941 
Joey        	74.964 
Jeannette   	74.987 
Enrique     	75.010 
Donnie      	75.033 
Candice     	75.056 
Wade        	75.078 
Hannah      	75.101 
Frankie     	75.123 
Bridget     	75.146 
Austin      	75.168 
Stuart      	75.190 
Karla       	75.212 
Evan        	75.234 
Celia       	75.256 
Vicky       	75.278 
Shelia      	75.299 
Patty       	75.321 
Nick        	75.342 
Lynne       	75.364 
Luther      	75.385 
Latoya      	75.407 
Fredrick    	75.428 
Della       	75.450 
Arturo      	75.471 
Alejandro   	75.493 
Wendell     	75.514 
Sheri       	75.535 
Marianne    	75.556 
Julius      	75.577 
Jeremiah    	75.598 
Shaun       	75.618 
Otis        	75.639 
Kara        	75.659 
Jacquelyn   	75.680 
Erma        	75.700 
Blanca      	75.721 
Angelo      	75.741 
Alexis      	75.762 
Trevor      	75.782 
Roxanne     	75.802 
Oliver      	75.822 
Myra        	75.842 
Morgan      	75.862 
Luke        	75.882 
Leticia     	75.902 
Krista      	75.922 
Homer       	75.942 
Gerard      	75.962 
Doug        	75.982 
Cameron     	76.002 
Sadie       	76.021 
Rosalie     	76.041 
Robyn       	76.060 
Kenny       	76.080 
Ira         	76.099 
Hubert      	76.119 
Brooke      	76.138 
Bethany     	76.158 
Bernadette  	76.177 
Bennie      	76.197 
Antonia     	76.216 
Angelica    	76.236 
Alexandra   	76.255 
Adrienne    	76.275 
Traci       	76.294 
Rachael     	76.313 
Nichole     	76.332 
Muriel      	76.351 
Matt        	76.370 
Mable       	76.389 
Lyle        	76.408 
Laverne     	76.427 
Kendra      	76.446 
Jasmine     	76.465 
Ernestine   	76.484 
Chelsea     	76.503 
Alfonso     	76.522 
Rex         	76.540 
Orlando     	76.559 
Ollie       	76.577 
Neal        	76.596 
Marcella    	76.614 
Loren       	76.633 
Krystal     	76.651 
Ernesto     	76.670 
Elena       	76.688 
Carlton     	76.707 
Blake       	76.725 
Angelina    	76.744 
Wilbur      	76.762 
Taylor      	76.780 
Shelby      	76.798 
Rudy        	76.816 
Roderick    	76.834 
Paulette    	76.852 
Pablo       	76.870 
Omar        	76.888 
Noel        	76.906 
Nadine      	76.924 
Lorenzo     	76.942 
Lora        	76.960 
Leigh       	76.978 
Kari        	76.996 
Horace      	77.014 
Grant       	77.032 
Estelle     	77.050 
Dianna      	77.068 
Willis      	77.085 
Rosemarie   	77.103 
Rickey      	77.120 
Mona        	77.138 
Kelley      	77.155 
Doreen      	77.173 
Desiree     	77.190 
Abraham     	77.208 
Rudolph     	77.225 
Preston     	77.242 
Malcolm     	77.259 
Kelvin      	77.276 
Johnathan   	77.293 
Janis       	77.310 
Hope        	77.327 
Ginger      	77.344 
Freda       	77.361 
Damon       	77.378 
Christie    	77.395 
Cesar       	77.412 
Betsy       	77.429 
Andres      	77.446 
Wm          	77.462 
Tommie      	77.479 
Teri        	77.495 
Robbie      	77.512 
Meredith    	77.528 
Mercedes    	77.545 
Marco       	77.561 
Lynette     	77.578 
Eula        	77.594 
Cristina    	77.611 
Archie      	77.627 
Alton       	77.644 
Sophia      	77.660 
Rochelle    	77.676 
Randolph    	77.692 
